id,title,original_publication_year,isbn,language_code
1,The Hunger Games,2008,439023483,eng
2,Harry Potter and the Sorcerers Stone,1997,439554934,eng
3,Twilight,2005,316015849,en-US
4,To Kill a Mockingbird,1960,61120081,eng
5,The Great Gatsby,1925,743273567,eng
6,The Fault in Our Stars,2012,525478817,eng
7,The Hobbit,1937,547928227,eng
8,The Hitchhikers Guide to the Galaxy,1979,345391802,eng
9,Pride and Prejudice,1813,679783261,eng
10,Brave New World,1932,60929871,eng
11,1984,1949,451524934,eng
12,One Hundred Years of Solitude,1967,060883287,spa
13,Animal Farm,1945,452284244,eng
14,Fahrenheit 451,1953,1451673319,eng
15,The Catcher in the Rye,1951,316769177,eng
16,Lord of the Flies,1954,571056865,eng
17,Dune,1965,441013597,eng
18,A Brief History of Time,1988,553380163,eng
19,Don Quixote,1605,60934344,spa
20,Crime and Punishment,1866,14044913,rus
